year,day,stars,position,seconds
2015,4,1,63,611
2015,4,1,64,620
2015,4,1,65,627
2015,4,1,66,635
2015,4,1,67,650
2015,4,1,68,650
2015,4,1,69,650
2015,4,1,70,651
2015,4,1,71,654
2015,4,1,72,657
2015,4,1,73,659
2015,4,1,74,662
2015,4,1,75,662
2015,4,1,76,664
2015,4,1,77,667
2015,4,1,78,670
2015,4,1,79,676
2015,4,1,80,682
2015,4,1,81,683
2015,4,1,82,691
2015,4,1,83,692
2015,4,1,84,697
2015,4,1,85,704
2015,4,1,86,709
2015,4,1,87,731
2015,4,1,88,732
2015,4,1,89,734
2015,4,1,90,742
2015,4,1,91,744
2015,4,1,92,748
2015,4,1,93,751
2015,4,1,94,785
2015,4,1,95,805
2015,4,1,96,811
2015,4,1,97,828
2015,4,1,98,830
2015,4,1,99,841
2015,4,1,100,845
2015,5,2,1,119
2015,5,2,2,229
2015,5,2,3,277
2015,5,2,4,292
2015,5,2,5,346
2015,5,2,6,416
2015,5,2,7,418
2015,5,2,8,478
2015,5,2,9,536
2015,5,2,10,559
2015,5,2,11,599
2015,5,2,12,628
2015,5,2,13,643
2015,5,2,14,655
2015,5,2,15,659
2015,5,2,16,684
2015,5,2,17,689
2015,5,2,18,692
2015,5,2,19,695
2015,5,2,20,706
2015,5,2,21,708
2015,5,2,22,726
2015,5,2,23,753
2015,5,2,24,755
2015,5,2,25,755
2015,5,2,26,769
2015,5,2,27,777
2015,5,2,28,780
2015,5,2,29,785
2015,5,2,30,795
2015,5,2,31,828
2015,5,2,32,831
2015,5,2,33,858
2015,5,2,34,868
2015,5,2,35,878
2015,5,2,36,907
2015,5,2,37,916
2015,5,2,38,933
2015,5,2,39,934
2015,5,2,40,936
2015,5,2,41,941
2015,5,2,42,946
2015,5,2,43,975
2015,5,2,44,992
2015,5,2,45,996
2015,5,2,46,998
2015,5,2,47,1002
2015,5,2,48,1014
2015,5,2,49,1020
2015,5,2,50,1027
2015,5,2,51,1065
2015,5,2,52,1072
2015,5,2,53,1130
2015,5,2,54,1143
2015,5,2,55,1147
2015,5,2,56,1170
2015,5,2,57,1182
2015,5,2,58,1188
2015,5,2,59,1217
2015,5,2,60,1227
2015,5,2,61,1231
2015,5,2,62,1278
2015,5,2,63,1297
2015,5,2,64,1309
2015,5,2,65,1319
2015,5,2,66,1338
2015,5,2,67,1346
2015,5,2,68,1377
2015,5,2,69,1383
2015,5,2,70,1397
2015,5,2,71,1411
2015,5,2,72,1426
2015,5,2,73,1442
2015,5,2,74,1444
2015,5,2,75,1457
2015,5,2,76,1466
2015,5,2,77,1476
2015,5,2,78,1491
2015,5,2,79,1493
2015,5,2,80,1512
2015,5,2,81,1529
2015,5,2,82,1533
2015,5,2,83,1544
2015,5,2,84,1569
2015,5,2,85,1584
2015,5,2,86,1593
2015,5,2,87,1593
2015,5,2,88,1597
2015,5,2,89,1601
2015,5,2,90,1608
2015,5,2,91,1625
2015,5,2,92,1627
